histogram, av: 137.21
0 25 272
25 50 235
50 75 587
75 100 130
100 125 123
125 150 160
150 175 160
175 200 160
200 225 126
225 250 195
250 275 255
275 300 95
300 325 30
325 350 16
350 375 11
375 400 14
400 425 10
425 450 4
450 475 5
475 500 12
500 525 1
525 550 2
550 575 0
575 600 0
600 625 0
625 650 0
650 675 0
675 700 0
700 725 0
725 750 0
