2010-03-01 2 2
2010-03-02 2 2
2010-03-03 0 0
2010-03-04 2 3
2010-03-05 0 0
2010-03-06 0 0
2010-03-07 0 0
2010-03-08 1 60
2010-03-09 2 7
2010-03-10 3 24
2010-03-11 0 0
2010-03-12 0 0
2010-03-13 0 0
2010-03-14 0 0
2010-03-15 0 0
2010-03-16 0 0
2010-03-17 0 0
2010-03-18 0 0
2010-03-19 0 0
2010-03-20 0 0
2010-03-21 0 0
2010-03-22 0 0
2010-03-23 0 0
2010-03-24 0 0
2010-03-25 0 0
2010-03-26 0 0
2010-03-27 0 0
2010-03-28 0 0
2010-03-29 0 0
2010-03-30 0 0
2010-03-31 0 0
2010-04-01 0 0
2010-04-02 0 0
2010-04-03 0 0
2010-04-04 0 0
2010-04-05 0 0
2010-04-06 0 0
2010-04-07 0 0
2010-04-08 0 0
2010-04-09 0 0
2010-04-10 0 0
2010-04-11 0 0
2010-04-12 0 0
2010-04-13 0 0
2010-04-14 0 0
2010-04-15 0 0
2010-04-16 0 0
2010-04-17 0 0
2010-04-18 0 0
2010-04-19 0 0
2010-04-20 0 0
2010-04-21 0 0
2010-04-22 0 0
2010-04-23 0 0
2010-04-24 0 0
2010-04-25 0 0
2010-04-26 0 0
2010-04-27 6 12
2010-04-28 0 0
2010-04-29 14 83
2010-04-30 11 57
2010-05-01 0 0
2010-05-02 5 0
2010-05-03 2 5
2010-05-04 5 12
2010-05-05 5 47
2010-05-06 4 11
2010-05-07 11 49
2010-05-08 3 9
2010-05-09 3 7
2010-05-10 5 27
2010-05-11 3 10
2010-05-12 2 6
2010-05-13 10 40
2010-05-14 3 15
2010-05-15 4 30
2010-05-16 7 39
2010-05-17 5 30
2010-05-18 5 33
2010-05-19 12 35
2010-05-20 22 88
2010-05-21 1 1
2010-05-22 9 25
2010-05-23 3 17
2010-05-24 1 6
2010-05-25 0 0
2010-05-26 30 132
2010-05-27 57 247
2010-05-28 0 0
2010-05-29 2 2
2010-05-30 61 239
2010-05-31 57 219
2010-06-01 6 17
2010-06-02 9 40
2010-06-03 8 30
2010-06-04 16 69
2010-06-05 9 103
2010-06-06 7 26
2010-06-07 19 176
2010-06-08 26 100
2010-06-09 11 40
2010-06-10 25 92
2010-06-11 18 64
2010-06-12 13 56
2010-06-13 17 70
2010-06-14 19 77
2010-06-15 12 51
2010-06-16 29 126
2010-06-17 46 219
2010-06-18 61 269
2010-06-19 61 262
2010-06-20 43 189
2010-06-21 50 193
2010-06-22 65 264
2010-06-23 77 314
2010-06-24 25 97
2010-06-25 0 0
2010-06-26 7 22
2010-06-27 0 0
2010-06-28 23 71
2010-06-29 65 244
2010-06-30 60 212
2010-07-01 62 227
2010-07-02 78 266
2010-07-03 72 275
2010-07-04 81 288
2010-07-05 61 258
2010-07-06 43 174
2010-07-07 7 24
2010-07-08 5 58
2010-07-09 10 97
2010-07-10 21 58
2010-07-11 9 30
2010-07-12 35 152
2010-07-13 9 48
2010-07-14 15 122
2010-07-15 15 154
2010-07-16 73 304
2010-07-17 76 309
2010-07-18 74 322
2010-07-19 65 274
2010-07-20 34 324
2010-07-21 1 76
2010-07-22 0 0
2010-07-23 1 1
2010-07-24 15 66
2010-07-25 15 69
2010-07-26 15 75
2010-07-27 18 179
2010-07-28 17 87
2010-07-29 8 17
2010-07-30 9 18
2010-07-31 9 19
2010-08-01 17 69
2010-08-02 27 89
2010-08-03 24 57
2010-08-04 21 64
2010-08-05 17 79
2010-08-06 10 34
2010-08-07 2 64
2010-08-08 1 3
2010-08-09 4 23
2010-08-10 6 10
2010-08-11 17 134
2010-08-12 9 23
2010-08-13 13 40
2010-08-14 11 30
2010-08-15 11 24
2010-08-16 11 21
2010-08-17 0 0
2010-08-18 0 0
2010-08-19 0 0
2010-08-20 0 0
2010-08-21 0 0
2010-08-22 0 0
2010-08-23 0 0
2010-08-24 0 0
2010-08-25 0 0
2010-08-26 0 0
2010-08-27 0 0
2010-08-28 0 0
2010-08-29 0 0
2010-08-30 0 0
2010-08-31 0 0
2010-09-01 9 33
2010-09-02 12 31
2010-09-03 6 24
2010-09-04 13 45
2010-09-05 7 40
2010-09-06 8 65
2010-09-07 17 213
2010-09-08 13 175
2010-09-09 20 43
2010-09-10 9 22
2010-09-11 8 19
2010-09-12 10 24
2010-09-13 6 13
2010-09-14 2 2
2010-09-15 3 9
2010-09-16 2 5
2010-09-17 7 9
2010-09-18 6 11
2010-09-19 9 27
2010-09-20 6 11
2010-09-21 0 0
2010-09-22 5 9
2010-09-23 5 9
2010-09-24 5 11
2010-09-25 4 9
2010-09-26 7 13
2010-09-27 7 21
2010-09-28 7 23
2010-09-29 7 15
2010-09-30 8 28
2010-10-01 3 12
2010-10-02 0 0
2010-10-03 0 0
2010-10-04 6 0
2010-10-05 3 5
2010-10-06 2 4
2010-10-07 0 0
2010-10-08 0 0
