DATA 2010-05-05 21:52:15    0 12900000 0.00 0.02 0.00 218993.50  303  215  215  215 
DATA 2010-05-05 21:52:15    0 12900000 0.00 0.02 0.00 218993.50  303  215  215  215 
DATA 2010-05-05 22:50:16    0 11880000 0.00 0.11 0.00 1456977.25  262  198  198  198 
DATA 2010-05-06 00:21:16    0 12540000 0.00 0.06 0.00 852987.00  160  209  209  209 
DATA 2010-05-06 22:03:17    0 13080000 0.00 0.02 0.00 218993.50  288  218  218  218 
DATA 2010-05-06 22:04:17    0 13080000 0.00 0.02 0.00 218993.50  287  218  218  218 
DATA 2010-05-06 22:04:17    0 13080000 0.00 0.02 0.00 218993.50  287  218  218  218 
DATA 2010-05-06 23:30:18    0 13440000 0.00 0.01 0.00 143996.75  195  224  224  224 
DATA 2010-05-08 01:15:18    0 9180000 0.00 0.08 0.00 756990.25  141  153  153  153 
DATA 2010-05-08 01:15:18    0 12300000 0.00 0.01 0.00 96996.75  109  205  205  205 
DATA 2010-05-08 01:15:18    0 11760000 0.00 0.05 0.00 597990.25  118  196  196  196 
DATA 2010-05-08 01:15:18    0 11880000 0.00 0.01 0.00 122996.75  116  198  198  198 
DATA 2010-05-08 01:15:18    0 12960000 0.00 0.03 0.00 356996.75   98  216  216  216 
DATA 2010-05-08 01:16:18    0 8640000 0.00 0.05 0.00 428993.50  143  144  144  144 
DATA 2010-05-08 01:16:18    0 13680000 0.00 0.01 0.00 144993.50   85  228  228  228 
DATA 2010-05-08 01:16:18    0 12240000 0.00 0.01 0.00 131990.25  109  204  204  204 
DATA 2010-05-08 01:17:18    0 13320000 0.00 0.02 0.00 218993.50   90  222  222  222 
DATA 2010-05-08 01:17:18    0 13320000 0.00 0.02 0.00 218993.50   90  222  222  222 
DATA 2010-05-08 01:17:18    0 13320000 0.00 0.02 0.00 218993.50   90  222  222  222 
DATA 2010-05-08 22:48:21    0 12960000 0.00 0.02 0.00 260993.50  244  216  216  216 
DATA 2010-05-08 23:32:21    0 13500000 0.00 0.02 0.00 229996.75  191  225  225  225 
DATA 2010-05-09 02:08:22    0 11940000 0.00 0.01 0.00 166996.75   61  199  199  199 
DATA 2010-05-09 23:31:14    0 12660000 0.00 0.01 0.00 100993.50  205  211  211  211 
DATA 2010-05-10 02:11:15    0 11700000 0.00 0.02 0.00 199996.75   61  195  195  195 
DATA 2010-05-10 03:27:15    0 7140000 0.00 0.03 0.00 189996.75   61  119  119  119 
DATA 2010-05-10 21:19:12    0 13860000 0.00 0.02 0.00 218993.50  316  231  231  231 
DATA 2010-05-10 21:20:12    0 13860000 0.00 0.02 0.00 218993.50  315  231  231  231 
DATA 2010-05-10 21:20:12    0 13860000 0.00 0.02 0.00 218993.50  315  231  231  231 
DATA 2010-05-10 22:54:13 780000 720000 0.63 0.66 1306980.50 1386980.50    1   13   -1    1 
DATA 2010-05-10 23:07:13    0 13740000 0.00 0.07 0.00 1066899.25  210  229  229  229 
DATA 2010-05-11 22:16:11    0 12480000 0.00 0.02 0.00 251996.75  281  208  208  208 
