PLOT 2010-03-01      2 29400000 
PLOT 2010-03-02      2 50640000 
PLOT 2010-03-03      0      0 
PLOT 2010-03-04      2 15060000 
PLOT 2010-03-05      0      0 
PLOT 2010-03-06      0      0 
PLOT 2010-03-07      0      0 
PLOT 2010-03-08      1 10800000 
PLOT 2010-03-09      2 3180000 
PLOT 2010-03-10      3 4260000 
PLOT 2010-03-11      0      0 
PLOT 2010-03-12      0      0 
PLOT 2010-03-13      0      0 
PLOT 2010-03-14      0      0 
PLOT 2010-03-15      0      0 
PLOT 2010-03-16      0      0 
PLOT 2010-03-17      0      0 
PLOT 2010-03-18      0      0 
PLOT 2010-03-19      0      0 
PLOT 2010-03-20      0      0 
PLOT 2010-03-21      0      0 
PLOT 2010-03-22      0      0 
PLOT 2010-03-23      0      0 
PLOT 2010-03-24      0      0 
PLOT 2010-03-25      0      0 
PLOT 2010-03-26      0      0 
PLOT 2010-03-27      0      0 
PLOT 2010-03-28      0      0 
PLOT 2010-03-29      0      0 
PLOT 2010-03-30      0      0 
PLOT 2010-03-31      0      0 
PLOT 2010-04-01      0      0 
PLOT 2010-04-02      0      0 
PLOT 2010-04-03      0      0 
PLOT 2010-04-04      0      0 
PLOT 2010-04-05      0      0 
PLOT 2010-04-06      0      0 
PLOT 2010-04-07      0      0 
PLOT 2010-04-08      0      0 
PLOT 2010-04-09      0      0 
PLOT 2010-04-10      0      0 
PLOT 2010-04-11      0      0 
PLOT 2010-04-12      0      0 
PLOT 2010-04-13      0      0 
PLOT 2010-04-14      0      0 
PLOT 2010-04-15      0      0 
PLOT 2010-04-16      0      0 
PLOT 2010-04-17      0      0 
PLOT 2010-04-18      0      0 
PLOT 2010-04-19      0      0 
PLOT 2010-04-20      0      0 
PLOT 2010-04-21      0      0 
PLOT 2010-04-22      0      0 
PLOT 2010-04-23      0      0 
PLOT 2010-04-24      0      0 
PLOT 2010-04-25      0      0 
PLOT 2010-04-26      0      0 
PLOT 2010-04-27      6 80400000 
PLOT 2010-04-28      0      0 
PLOT 2010-04-29     14 157980000 
PLOT 2010-04-30     11 49320000 
PLOT 2010-05-01      0      0 
PLOT 2010-05-02      5  60000 
PLOT 2010-05-03      2 25320000 
