0 0.376 0.301 0.451
1 0.339 0.253 0.425
2 0.387 0.309 0.465
4 0.359 0.278 0.44
8 0.413 0.338 0.488
15 0.426 0.344 0.508
30 0.544 0.458 0.63
60 0.781 0.69 0.872
90 0.81 0.721 0.899
120 0.789 0.707 0.871
150 0.765 0.681 0.849
180 0.689 0.609 0.769
210 0.675 0.59 0.76
240 0.567 0.486 0.648
300 0.485 0.403 0.567
360 0.436 0.35 0.522
