histogram, av: 5.23
0 40 1497
40 80 1019
80 120 24
120 160 7
160 200 19
200 240 8
240 280 13
280 320 1
320 360 2
360 400 3
400 440 0
440 480 1
480 520 2
520 560 0
560 600 0
600 640 1
640 680 2
680 720 1
720 760 0
760 800 0
