Processing qsuhte2.dat 
0.0 81.8919 5
30.0 87.2973 2.7027
60.0 90.8108 3.97297
90.0 90.5946 3.67568
120.0 97.027 2.75676
150.0 102.108 3.94595
180.0 99.1892 1.43243
210.0 100.649 4.89189
240.0 102.703 3.40541
270.0 95.1351 3.24324
300.0 96.7568 2.72973
330.0 96.5946 1.24324
360.0 97.7297 1.05405
