15 72.1 65 75
30 71.3 65 77
60 73.4 67 78
120 80.6 68 89
180 82.1 72 90
240 82.4 76 92
300 80.5 67 87
360 83.9 75 91
420 83.1 72 92
480 83.2 76 89
