# 0 0 0 0
 0 0 0 0
15 77.2 75.2 88.2 83.2
30 73.1 69.1 89.1 83.1
60 71.5 70.5 82.5 79.5
120 68.2 62.2 83.2 76.2
180 72.5 69.5 78.5 76.5
240 69.2 67.2 81.2 77.2
360 68.7 67.7 77.7 74.7
480 71.2 69.2 80.2 75.2
