# 0 0 0 0
 0 0 0 0
15 71.2 67.2 85.2 83.2
30 69.1 66.1 84.1 83.1
60 67.3 65.3 85.3 81.3
120 70.5 67.5 89.5 84.5
180 71.2 66.2 84.2 81.2
240 71.3 66.3 82.3 79.3
360 71.8 70.8 86.8 81.8
480 69.2 67.2 85.2 81.2
