Processing qsuhte4.dat 
0.0 73.4054 3.78378
30.0 77.027 4.05405
60.0 80.973 2.54054
90.0 89.4595 4.16216
120.0 90 4.86486
150.0 91.6216 2.13514
180.0 98.1622 4.27027
210.0 100.162 3.02703
240.0 100.811 2.02703
270.0 103.459 3.16216
300.0 106.649 4.59459
330.0 104.919 1.35135
360.0 102.757 4.83784
