Processing qsuhte6.dat 
0.0 70.8108 1.24324
30.0 72.9189 1.86486
60.0 77.4054 4.05405
90.0 78.5946 2.83784
120.0 80 2.18919
150.0 87.6757 1.02703
180.0 86.3243 2.43243
210.0 90.6486 3.10811
240.0 90.5405 1.56757
270.0 93.2432 3.91892
300.0 99.7297 2.2973
330.0 102.378 1.48649
360.0 99.7297 4.05405
