Processing qsuhte1.dat 
0.0 77.8378 1.75676
30.0 85.6757 3.45946
60.0 93.2432 2.02703
90.0 95.9459 3.91892
120.0 92.1622 2.02703
150.0 92.0541 1.21622
180.0 90.2703 1.35135
210.0 95.1351 1.43243
240.0 87.5676 1.54054
270.0 93.9459 4.05405
300.0 88.3784 1.13514
330.0 88.7027 4.51351
360.0 87.5676 1.67568
