libgcj-java-placeholder.sh

This script is a placeholder for the /usr/bin/java
master link required by jpackage.org conventions.  libgcj's
rmiregistry, rmic and jar tools are now slave symlinks to these
masters, and are managed by the alternatives(8) system.

This change was necessary because the rmiregistry, rmic and jar tools
installed by previous versions of libgcj conflicted with symlinks
installed by jpackage.org JVM packages.
#NT 4910
#AV 29.328097231862603
#OVR 2.0366598778004074E-4
0.0 0.0989816700610998 0.0989816700610998 0.0 0.0
3.0 0.08737270875763747 0.1863543788187373 1287.0 1287.0
6.0 0.0769857433808554 0.2633401221995927 2268.0 3555.0
9.0 0.07372708757637475 0.33706720977596744 3258.0 6813.0
12.0 0.06659877800407332 0.40366598778004076 3924.0 10737.0
15.0 0.05478615071283096 0.4584521384928717 4035.0 14772.0
18.0 0.05702647657841141 0.5154786150712831 5040.0 19812.0
21.0 0.045824847250509164 0.5613034623217923 4725.0 24537.0
24.0 0.03971486761710794 0.6010183299389003 4680.0 29217.0
27.0 0.03890020366598778 0.639918533604888 5157.0 34374.0
30.0 0.0340122199592668 0.6739307535641549 5010.0 39384.0
33.0 0.031975560081466396 0.7059063136456213 5181.0 44565.0
36.0 0.028716904276985745 0.734623217922607 5076.0 49641.0
39.0 0.026069246435845215 0.7606924643584522 4992.0 54633.0
42.0 0.0274949083503055 0.7881873727087577 5670.0 60303.0
45.0 0.020162932790224034 0.8083503054989818 4455.0 64758.0
48.0 0.01670061099796334 0.8250509164969452 3936.0 68694.0
51.0 0.018533604887983706 0.8435845213849289 4641.0 73335.0
54.0 0.013645621181262729 0.8572301425661917 3618.0 76953.0
57.0 0.014663951120162933 0.8718940936863546 4104.0 81057.0
60.0 0.010997963340122199 0.8828920570264768 3240.0 84297.0
63.0 0.010590631364562118 0.8934826883910388 3276.0 87573.0
66.0 0.008553971486761711 0.9020366598778006 2772.0 90345.0
69.0 0.010386965376782077 0.9124236252545826 3519.0 93864.0
72.0 0.008553971486761711 0.9209775967413444 3024.0 96888.0
75.0 0.006109979633401222 0.9270875763747456 2250.0 99138.0
78.0 0.005906313645621181 0.9329938900203668 2262.0 101400.0
81.0 0.007739307535641548 0.9407331975560084 3078.0 104478.0
84.0 0.006313645621181262 0.9470468431771897 2604.0 107082.0
87.0 0.006313645621181262 0.953360488798371 2697.0 109779.0
90.0 0.004887983706720978 0.9582484725050919 2160.0 111939.0
93.0 0.0036659877800407333 0.9619144602851326 1674.0 113613.0
96.0 0.005295315682281059 0.9672097759674136 2496.0 116109.0
99.0 0.0034623217922606924 0.9706720977596743 1683.0 117792.0
102.0 0.003054989816700611 0.9737270875763749 1530.0 119322.0
105.0 0.0018329938900203666 0.9755600814663953 945.0 120267.0
108.0 0.002443991853360489 0.9780040733197558 1296.0 121563.0
111.0 0.001629327902240326 0.9796334012219962 888.0 122451.0
114.0 0.0026476578411405295 0.9822810590631367 1482.0 123933.0
117.0 0.0014256619144602852 0.9837067209775969 819.0 124752.0
120.0 0.0012219959266802445 0.9849287169042772 720.0 125472.0
123.0 0.0018329938900203666 0.9867617107942975 1107.0 126579.0
126.0 8.14663951120163E-4 0.9875763747454177 504.0 127083.0
129.0 8.14663951120163E-4 0.9883910386965379 516.0 127599.0
132.0 8.14663951120163E-4 0.9892057026476581 528.0 128127.0
135.0 0.0014256619144602852 0.9906313645621183 945.0 129072.0
138.0 0.001629327902240326 0.9922606924643587 1104.0 130176.0
141.0 4.073319755600815E-4 0.9926680244399188 282.0 130458.0
144.0 0.0012219959266802445 0.993890020366599 864.0 131322.0
147.0 0.0010183299389002036 0.9949083503054992 735.0 132057.0
150.0 0.0010183299389002036 0.9959266802443993 750.0 132807.0
153.0 0.0 0.9959266802443993 0.0 132807.0
156.0 2.0366598778004074E-4 0.9961303462321793 156.0 132963.0
159.0 8.14663951120163E-4 0.9969450101832995 636.0 133599.0
162.0 4.073319755600815E-4 0.9973523421588596 324.0 133923.0
165.0 0.0 0.9973523421588596 0.0 133923.0
168.0 0.0 0.9973523421588596 0.0 133923.0
171.0 4.073319755600815E-4 0.9977596741344197 342.0 134265.0
