# de, y, dy, ylo, yhi

15   80.2 3 2 5
30   78.1 5 4 6
60   75.5 4 1 3
120  72.2 4 6 7
180  74.5 2 3 2
240  73.2 4 2 4
360  71.7 3 1 3
480  73.2 2 2 5
