Loaded:: G_430  z1_2_H13  P  N  D  INT(672.0)  -10
Loaded:: G_431  i1_2_H13  P  N  D  INT(168.0)  1
Loaded:: G_436  i2_2_H13  P  N  D  INT(672.0)  -10
Loaded:: G_437  i1_1_H13  P  N  D  INT(168.0)  1
Loaded:: G_439  z2_1_H13  P  N  D  INT(672.0)  -10
Loaded:: G_440  z1_1_H13  P  N  D  INT(672.0)  -10
Loaded:: G_360  J1406  P  N  B  INT(72.0)  3
Loaded:: G_481  5548_opt  P  T  B  INT(168.0)  2
Loaded:: G_427  darkbias_16h  P  T  B  INT(24.0)  2
Loaded:: G_275  TST-BarnStar-071105  P  N  B  FLEX  0
Loaded:: G_365  Focus19_zr  A  T  B  INT(12.0)  -10
Loaded:: G_366  Focus19_rr  A  T  B  INT(168.0)  -10
Loaded:: G_367  Focus19_Br  A  T  B  INT(12.0)  -10
Loaded:: G_006  Photom_M-A  P  T  B  INT(3.0)  -1
Loaded:: G_287  m15weekly  A  N  B  INT(132.0)  2
Loaded:: G_359  HS2209  P  N  D  INT(72.0)  3
Loaded:: G_381  zero_hd212311  P  N  B  INT(5.0)  -1
Loaded:: G_448  UCM_galaxies_6  A  N  D  FLEX  1
Loaded:: G_452  UCM_galaxies_7  A  N  D  FLEX  1
Loaded:: G_466  2251  A  N  D  INT(168.0)  1
Loaded:: G_469  2200  A  N  B  INT(168.0)  1
Loaded:: G_005  Photom_2331+055A  P  T  B  INT(3.0)  -1
Loaded:: G_264  NGC7721  P  N  D  FLEX  1
Loaded:: G_271  SN2007le_OptMonitor  P  N  B  INT(24.0)  3
Loaded:: G_272  SN2007le_IRmonitor  P  T  B  INT(24.0)  3
Loaded:: G_294  uranusMon1  P  T  B  INT(24.0)  1
Loaded:: G_432  i1_1_H00  P  N  D  INT(168.0)  1
Loaded:: G_433  i2_1_H00  P  N  D  INT(672.0)  -10
Loaded:: G_434  z2_2_H00  P  N  D  INT(672.0)  -10
Loaded:: G_435  i1_2_H00  P  N  D  INT(168.0)  1
Loaded:: G_438  z1_1_H00  P  N  D  INT(672.0)  -10
Loaded:: G_441  z1_2_H00  P  N  D  INT(672.0)  -10
Loaded:: G_442  i2_2_H00  P  N  D  INT(672.0)  -10
Loaded:: G_443  z2_1_H00  P  N  D  INT(672.0)  -10
Loaded:: G_449  UCM_galaxies_18  A  N  D  FLEX  1
Loaded:: G_450  UCM_galaxies_14  A  N  D  FLEX  1
Loaded:: G_453  UCM_galaxies_17  A  N  D  FLEX  1
Loaded:: G_455  UCM_galaxies_4  A  N  D  FLEX  1
Loaded:: G_456  UCM_galaxies_13  A  N  D  FLEX  1
Loaded:: G_458  UCM_galaxies_16  A  N  D  FLEX  1
Loaded:: G_462  UCM_galaxies_10  A  N  D  FLEX  1
Loaded:: G_463  UCM_galaxies_11  A  N  D  FLEX  1
006 2007-11-13 19:20 -> 2007-11-13 19:29
005 2007-11-13 19:30 -> 2007-11-13 19:39
004 2007-11-13 19:40 -> 2007-11-13 19:49
361 2007-11-13 19:50 -> 2007-11-13 19:59
427 2007-11-13 19:55 -> 2007-11-13 19:59
375 2007-11-13 20:00 -> 2007-11-13 20:08
423 2007-11-13 20:09 -> 2007-11-13 20:21
476 2007-11-13 20:22 -> 2007-11-13 20:55
007 2007-11-13 20:55 -> 2007-11-13 21:05
271 2007-11-13 21:05 -> 2007-11-13 21:16
272 2007-11-13 21:13 -> 2007-11-13 21:24
355 2007-11-13 21:25 -> 2007-11-13 21:29
370 2007-11-13 21:30 -> 2007-11-13 21:33
276 2007-11-13 21:35 -> 2007-11-13 21:37
369 2007-11-13 21:38 -> 2007-11-13 21:51
399 2007-11-13 21:50 -> 2007-11-13 21:53
446 2007-11-13 21:54 -> 2007-11-13 22:30
005 2007-11-13 22:30 -> 2007-11-13 22:39
002 2007-11-13 22:40 -> 2007-11-13 22:49
159 2007-11-13 22:50 -> 2007-11-13 22:53
319 2007-11-13 22:53 -> 2007-11-13 23:10
323 2007-11-13 23:10 -> 2007-11-13 23:27
324 2007-11-13 23:27 -> 2007-11-13 23:44
273 2007-11-13 23:43 -> 2007-11-13 23:54
274 2007-11-13 23:55 -> 2007-11-14 00:23
355 2007-11-14 00:13 -> 2007-11-14 00:17
476 2007-11-14 00:18 -> 2007-11-14 00:51
402 2007-11-14 00:50 -> 2007-11-14 00:53
112 2007-11-14 00:55 -> 2007-11-14 00:58
098 2007-11-14 01:00 -> 2007-11-14 01:03
002 2007-11-14 01:05 -> 2007-11-14 01:14
022 2007-11-14 01:15 -> 2007-11-14 01:18
068 2007-11-14 01:18 -> 2007-11-14 01:21
077 2007-11-14 01:22 -> 2007-11-14 01:25
110 2007-11-14 01:25 -> 2007-11-14 01:28
114 2007-11-14 01:28 -> 2007-11-14 01:31
156 2007-11-14 01:32 -> 2007-11-14 01:35
382 2007-11-14 01:35 -> 2007-11-14 01:38
476 2007-11-14 01:40 -> 2007-11-14 02:13
025 2007-11-14 02:03 -> 2007-11-14 02:06
028 2007-11-14 02:07 -> 2007-11-14 02:10
093 2007-11-14 02:10 -> 2007-11-14 02:13
048 2007-11-14 02:12 -> 2007-11-14 02:13
408 2007-11-14 02:13 -> 2007-11-14 02:14
371 2007-11-14 02:15 -> 2007-11-14 02:30
373 2007-11-14 02:30 -> 2007-11-14 02:45
284 2007-11-14 02:45 -> 2007-11-14 03:56
002 2007-11-14 03:51 -> 2007-11-14 04:00
004 2007-11-14 04:01 -> 2007-11-14 04:10
353 2007-11-14 04:11 -> 2007-11-14 04:16
352 2007-11-14 04:16 -> 2007-11-14 04:21
358 2007-11-14 04:21 -> 2007-11-14 04:48
472 2007-11-14 04:48 -> 2007-11-14 04:55
426 2007-11-14 04:56 -> 2007-11-14 04:58
244 2007-11-14 04:58 -> 2007-11-14 05:20
204 2007-11-14 05:22 -> 2007-11-14 05:45
002 2007-11-14 05:45 -> 2007-11-14 05:54
004 2007-11-14 05:55 -> 2007-11-14 06:04
481 2007-11-14 06:06 -> 2007-11-14 06:09
278 2007-11-14 06:09 -> 2007-11-14 06:11
407 2007-11-14 06:12 -> 2007-11-14 06:13
126 2007-11-14 06:17 -> 2007-11-14 06:24
353 2007-11-14 06:24 -> 2007-11-14 06:29
352 2007-11-14 06:30 -> 2007-11-14 06:35
004 2007-11-14 06:35 -> 2007-11-14 06:44
002 2007-11-14 06:45 -> 2007-11-14 06:54
