G_280 9:50:31.97 -2:49:47.20 group07b01c f 0 dan 1 28.8 11
G_281 9:47:51.21 -2:24:18.80 group07b01b f 0 dan 1 28.8 11
G_373 9:55:33.20 69:3:55.00 lens_M81 m 48  bpn 2 15.07 0
G_004 10:50:5.70 -0:1:12.00 Photom_G1_1047+003 i 3  bpt -1 9.63 0
G_265 10:52:11.40 32:57:2.00 NGC3430 f 0 dpn 1 23.83 11
G_282 10:11:42.74 -2:58:16.90 group07b01d f 0 dan 1 28.8 10
G_407 10:39:57.45 10:4:0.47 926jt f 0 bpt 2 1.31 19
G_213 11:32:2.40 36:41:53.00 UGC6517 f 0 dpn 1 22.17 10
G_244 11:25:2.50 -9:47:43.00 NGC3672 f 0 dpn 1 22.17 9
G_353 11:37:5.15 29:47:58.40 FS21 m 3  bpt -1 5.43 0
G_204 12:52:34.70 -9:46:36.00 MCG-01-33-34 f 0 dpn 3 23.83 4
G_210 12:5:34.20 50:32:21.00 NGC4088 f 0 dpn 1 22.17 10
G_218 12:2:12.20 62:8:14.00 NGC4041 f 0 dpn 1 22.17 11
G_245 12:48:13.60 -3:19:58.00 NGC4691 f 0 dpn 1 23.83 9
G_270 12:0:23.60 -1:6:0.00 NGC4030 f 0 dpn 1 8.3 9
G_277 12:45:11.97 -2:58:14.59 venus-mon-070919 m 48  but 3 1.27 0
G_278 12:56:54.72 23:4:25.40 Star_H13 m 168  bpt -10 2.53 7
G_372 12:56:43.00 21:40:56.00 lens_M64 m 48  bpn 2 15.07 0
G_426 12:21:31.69 28:13:58.50 dark_12h m 24  bpn 2 2.27 0
G_471 12:29:6.70 2:3:8.60 1226 m 168  ban 1 7.8 3
G_239 13:8:48.70 -6:46:39.00 NGC4981 f 0 dpn 1 8.3 0
G_428 13:6:56.00 29:34:48.00 i2_1_H13 m 672  dpn -10 49.73 7
G_429 13:6:56.00 29:34:48.00 z2_2_H13 m 672  dpn -10 49.73 7
G_430 13:6:56.00 29:34:48.00 z1_2_H13 m 672  dpn -10 49.73 7
G_431 13:6:56.00 29:34:48.00 i1_2_H13 m 168  dpn 1 49.73 3
G_436 13:6:56.00 29:34:48.00 i2_2_H13 m 672  dpn -10 49.73 6
G_437 13:6:56.00 29:34:48.00 i1_1_H13 m 168  dpn 1 49.73 4
G_439 13:6:56.00 29:34:48.00 z2_1_H13 m 672  dpn -10 49.73 5
G_440 13:6:56.00 29:34:48.00 z1_1_H13 m 672  dpn -10 49.73 5
G_360 14:6:24.82 61:26:40.90 J1406 i 72  bpn 3 27.33 21
G_481 14:17:59.60 25:6:53.00 5548_opt m 168  bpt 2 3.13 3
G_427 16:35:15.49 38:8:4.50 darkbias_16h m 24  bpt 2 4.34 0
G_275 17:57:48.00 4:42:48.50 TST-BarnStar-071105 f 0 bpn 0 2.8 10
G_365 19:0:34.78 22:34:54.10 Focus19_zr i 12  bat -10 9.9 0
G_366 19:0:34.78 22:34:54.10 Focus19_rr i 168  bat -10 9.8 21
G_367 19:0:34.78 22:34:54.10 Focus19_Br i 12  bat -10 11.18 0
