0.14 0.86 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.14 0.86 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.14 0.86 0.00 XT: Avg: 0.9684 Max: 0.9770 Min: 0.9462 Std: 0.0139
0.16 0.84 0.00 EL: Avg: 0.5926 Max: 0.6050 Min: 0.5682 Std: 0.0137
0.16 0.84 0.00 PR: Avg: 2.2942 Max: 2.3026 Min: 2.2718 Std: 0.0137
0.16 0.84 0.00 SM: Avg: 0.2479 Max: 0.2500 Min: 0.2423 Std: 0.0034
0.16 0.84 0.00 LM: Avg: 0.6421 Max: 0.6504 Min: 0.6196 Std: 0.0137
0.16 0.84 0.00 RN: Avg: 0.4754 Max: 0.4761 Min: 0.4733 Std: 0.0012
0.16 0.84 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.16 0.84 0.00 XT: Avg: 0.9687 Max: 0.9770 Min: 0.9462 Std: 0.0137
0.18 0.82 0.00 EL: Avg: 0.5908 Max: 0.6041 Min: 0.5674 Std: 0.0145
0.18 0.82 0.00 PR: Avg: 2.2924 Max: 2.3026 Min: 2.2718 Std: 0.0146
0.18 0.82 0.00 SM: Avg: 0.2475 Max: 0.2500 Min: 0.2423 Std: 0.0036
0.18 0.82 0.00 LM: Avg: 0.6402 Max: 0.6504 Min: 0.6196 Std: 0.0146
0.18 0.82 0.00 RN: Avg: 0.4752 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.18 0.82 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.18 0.82 0.00 XT: Avg: 0.9668 Max: 0.9770 Min: 0.9462 Std: 0.0146
0.20 0.80 0.00 EL: Avg: 0.5913 Max: 0.6043 Min: 0.5680 Std: 0.0141
0.20 0.80 0.00 PR: Avg: 2.2930 Max: 2.3026 Min: 2.2718 Std: 0.0143
0.20 0.80 0.00 SM: Avg: 0.2476 Max: 0.2500 Min: 0.2423 Std: 0.0036
0.20 0.80 0.00 LM: Avg: 0.6409 Max: 0.6504 Min: 0.6196 Std: 0.0143
0.20 0.80 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.20 0.80 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.20 0.80 0.00 XT: Avg: 0.9674 Max: 0.9770 Min: 0.9462 Std: 0.0143
0.22 0.78 0.00 EL: Avg: 0.5919 Max: 0.6047 Min: 0.5676 Std: 0.0137
0.22 0.78 0.00 PR: Avg: 2.2936 Max: 2.3026 Min: 2.2718 Std: 0.0140
0.22 0.78 0.00 SM: Avg: 0.2478 Max: 0.2500 Min: 0.2423 Std: 0.0035
0.22 0.78 0.00 LM: Avg: 0.6415 Max: 0.6504 Min: 0.6196 Std: 0.0140
0.22 0.78 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.22 0.78 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.22 0.78 0.00 XT: Avg: 0.9681 Max: 0.9770 Min: 0.9462 Std: 0.0140
0.24 0.76 0.00 EL: Avg: 0.5902 Max: 0.6036 Min: 0.5695 Std: 0.0145
0.24 0.76 0.00 PR: Avg: 2.2918 Max: 2.3026 Min: 2.2718 Std: 0.0148
0.24 0.76 0.00 SM: Avg: 0.2473 Max: 0.2500 Min: 0.2423 Std: 0.0037
0.24 0.76 0.00 LM: Avg: 0.6396 Max: 0.6504 Min: 0.6196 Std: 0.0148
0.24 0.76 0.00 RN: Avg: 0.4752 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.24 0.76 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.24 0.76 0.00 XT: Avg: 0.9662 Max: 0.9770 Min: 0.9462 Std: 0.0148
0.26 0.74 0.00 EL: Avg: 0.5916 Max: 0.6046 Min: 0.5691 Std: 0.0140
0.26 0.74 0.00 PR: Avg: 2.2930 Max: 2.3026 Min: 2.2718 Std: 0.0143
0.26 0.74 0.00 SM: Avg: 0.2476 Max: 0.2500 Min: 0.2423 Std: 0.0036
0.26 0.74 0.00 LM: Avg: 0.6408 Max: 0.6504 Min: 0.6101 Std: 0.0145
0.26 0.74 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.26 0.74 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.26 0.74 0.00 XT: Avg: 0.9674 Max: 0.9770 Min: 0.9462 Std: 0.0143
0.28 0.72 0.00 EL: Avg: 0.5923 Max: 0.6059 Min: 0.5692 Std: 0.0140
0.28 0.72 0.00 PR: Avg: 2.2936 Max: 2.3026 Min: 2.2718 Std: 0.0140
0.28 0.72 0.00 SM: Avg: 0.2478 Max: 0.2500 Min: 0.2423 Std: 0.0035
0.28 0.72 0.00 LM: Avg: 0.6415 Max: 0.6504 Min: 0.6196 Std: 0.0140
0.28 0.72 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.28 0.72 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.28 0.72 0.00 XT: Avg: 0.9681 Max: 0.9770 Min: 0.9462 Std: 0.0140
0.30 0.70 0.00 EL: Avg: 0.5929 Max: 0.6059 Min: 0.5678 Std: 0.0135
0.30 0.70 0.00 PR: Avg: 2.2945 Max: 2.3026 Min: 2.2718 Std: 0.0136
0.30 0.70 0.00 SM: Avg: 0.2480 Max: 0.2500 Min: 0.2423 Std: 0.0034
0.30 0.70 0.00 LM: Avg: 0.6424 Max: 0.6504 Min: 0.6196 Std: 0.0136
0.30 0.70 0.00 RN: Avg: 0.4754 Max: 0.4761 Min: 0.4733 Std: 0.0012
0.30 0.70 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.30 0.70 0.00 XT: Avg: 0.9690 Max: 0.9770 Min: 0.9462 Std: 0.0136
0.32 0.68 0.00 EL: Avg: 0.5912 Max: 0.6049 Min: 0.5670 Std: 0.0141
0.32 0.68 0.00 PR: Avg: 2.2930 Max: 2.3026 Min: 2.2718 Std: 0.0143
0.32 0.68 0.00 SM: Avg: 0.2476 Max: 0.2500 Min: 0.2423 Std: 0.0036
0.32 0.68 0.00 LM: Avg: 0.6408 Max: 0.6504 Min: 0.6101 Std: 0.0145
0.32 0.68 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.32 0.68 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.32 0.68 0.00 XT: Avg: 0.9674 Max: 0.9770 Min: 0.9462 Std: 0.0143
0.34 0.66 0.00 EL: Avg: 0.5922 Max: 0.6059 Min: 0.5696 Std: 0.0135
0.34 0.66 0.00 PR: Avg: 2.2939 Max: 2.3026 Min: 2.2718 Std: 0.0139
0.34 0.66 0.00 SM: Avg: 0.2479 Max: 0.2500 Min: 0.2423 Std: 0.0035
0.34 0.66 0.00 LM: Avg: 0.6418 Max: 0.6504 Min: 0.6196 Std: 0.0139
0.34 0.66 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.34 0.66 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.34 0.66 0.00 XT: Avg: 0.9684 Max: 0.9770 Min: 0.9462 Std: 0.0139
0.36 0.64 0.00 EL: Avg: 0.5930 Max: 0.6049 Min: 0.5676 Std: 0.0135
0.36 0.64 0.00 PR: Avg: 2.2945 Max: 2.3026 Min: 2.2718 Std: 0.0136
0.36 0.64 0.00 SM: Avg: 0.2480 Max: 0.2500 Min: 0.2423 Std: 0.0034
0.36 0.64 0.00 LM: Avg: 0.6424 Max: 0.6504 Min: 0.6196 Std: 0.0136
0.36 0.64 0.00 RN: Avg: 0.4754 Max: 0.4761 Min: 0.4733 Std: 0.0012
0.36 0.64 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
0.36 0.64 0.00 XT: Avg: 0.9690 Max: 0.9770 Min: 0.9462 Std: 0.0136
0.38 0.62 0.00 EL: Avg: 0.5921 Max: 0.6043 Min: 0.5694 Std: 0.0138
0.38 0.62 0.00 PR: Avg: 2.2936 Max: 2.3026 Min: 2.2718 Std: 0.0140
0.38 0.62 0.00 SM: Avg: 0.2478 Max: 0.2500 Min: 0.2423 Std: 0.0035
0.38 0.62 0.00 LM: Avg: 0.6415 Max: 0.6504 Min: 0.6196 Std: 0.0140
0.38 0.62 0.00 RN: Avg: 0.4753 Max: 0.4761 Min: 0.4733 Std: 0.0013
0.38 0.62 0.00 TD: Avg: 0.0000 Max: 0.0000 Min: 0.0000 Std: 0.0000
