002 03:51:00 -> 04:00:52 56.92 61.46 :: 0.9260 3.0000 0.2500 0.5000 1.0000 0.0550 
004 04:01:00 -> 04:10:37 20.70 55.21 :: 0.3501 3.0000 0.2500 0.5000 1.0000 0.0594 
353 04:11:00 -> 04:16:25 25.05 60.92 :: 0.3694 3.0000 0.2500 0.5000 1.0000 0.0320 
352 04:16:00 -> 04:21:25 59.51 61.45 :: 0.9684 3.0000 0.2500 0.5000 1.0000 0.0310 
358 04:21:00 -> 04:48:19 69.76 82.11 :: 0.8496 3.0000 0.2500 1.0000 0.0588 0.0599 
472 04:48:00 -> 04:55:48 65.22 82.11 :: 0.7944 1.0000 0.5000 1.0000 0.3333 0.0201 
426 04:56:00 -> 04:58:16 24.67 51.09 :: 0.4252 2.0000 0.2500 0.5000 1.0000 0.0114 
244 04:58:00 -> 05:20:10 20.13 42.20 :: 0.4330 1.0000 0.2500 1.0000 0.1111 0.1184 
204 05:22:00 -> 05:45:49 6.91 27.02 :: 0.2096 3.0000 0.2500 1.0000 0.2500 0.2340 
002 05:45:00 -> 05:54:52 59.53 61.46 :: 0.9686 3.0000 0.2500 0.5000 1.0000 0.0550 
004 05:55:00 -> 06:04:37 44.22 55.21 :: 0.7480 3.0000 0.2500 0.5000 1.0000 0.0594 
481 06:06:00 -> 06:09:07 13.93 25.24 :: 0.4347 2.0000 0.2500 0.5000 0.3333 0.0157 
278 06:09:00 -> 06:11:31 30.95 42.09 :: 0.6304 0.0000 0.2500 0.5000 0.1429 0.0109 
407 06:12:00 -> 06:13:18 55.80 64.71 :: 0.8053 2.0000 0.2500 0.5000 0.0526 0.0039 
126 06:17:00 -> 06:24:00 68.33 84.52 :: 0.8085 0.0000 0.2500 0.5000 0.1429 0.0120 
353 06:24:00 -> 06:29:25 53.14 60.92 :: 0.7835 3.0000 0.2500 0.5000 1.0000 0.0320 
352 06:30:00 -> 06:35:25 54.25 61.45 :: 0.8829 3.0000 0.2500 0.5000 1.0000 0.0310 
004 06:35:00 -> 06:44:37 51.35 55.21 :: 0.8686 3.0000 0.2500 0.5000 1.0000 0.0594 
002 06:45:00 -> 06:54:52 52.00 61.46 :: 0.8460 3.0000 0.2500 0.5000 1.0000 0.0550 
LON: 12.0h, Total exec time: 11.911665555555556h Frac: 0.9926387962962963
H1: 0.7336 2.2228 0.2728 0.6774 0.6417 0.0777 0.9926
