1 Jan 2007 00:00:00 GMT
2007-01-01 13.75 12.75 10.833333333333334 10.833333333333334
2007-01-02 13.75 13.75 10.833333333333334 10.833333333333334
2007-01-03 13.666666666666666 13.583333333333334 10.833333333333334 10.833333333333334
2007-01-04 13.666666666666666 12.583333333333334 10.833333333333334 10.833333333333334
2007-01-05 13.666666666666666 11.5 10.833333333333334 10.083333333333334
2007-01-06 13.666666666666666 10.583333333333334 10.833333333333334 9.166666666666666
2007-01-07 13.666666666666666 9.666666666666666 10.75 8.25
2007-01-08 13.666666666666666 8.75 10.75 7.333333333333333
2007-01-09 13.666666666666666 7.916666666666667 10.75 6.5
2007-01-10 13.583333333333334 7.0 10.75 5.583333333333333
2007-01-11 13.583333333333334 6.166666666666667 10.75 4.75
2007-01-12 13.583333333333334 5.25 10.75 3.8333333333333335
2007-01-13 13.583333333333334 4.25 10.75 2.8333333333333335
2007-01-14 13.583333333333334 3.25 10.666666666666666 1.8333333333333333
2007-01-15 13.583333333333334 2.25 10.666666666666666 0.8333333333333334
2007-01-16 13.5 1.25 10.666666666666666 0.0
2007-01-17 13.5 0.3333333333333333 10.666666666666666 0.0
2007-01-18 13.5 0.0 10.666666666666666 0.0
2007-01-19 13.5 0.5 10.666666666666666 0.0
2007-01-20 13.5 1.6666666666666667 10.666666666666666 0.25
2007-01-21 13.5 2.75 10.583333333333334 1.25
2007-01-22 13.416666666666666 3.75 10.583333333333334 2.3333333333333335
2007-01-23 13.416666666666666 4.833333333333333 10.583333333333334 3.4166666666666665
2007-01-24 13.416666666666666 5.916666666666667 10.583333333333334 4.5
2007-01-25 13.416666666666666 7.0 10.583333333333334 5.583333333333333
2007-01-26 13.416666666666666 8.083333333333334 10.583333333333334 6.666666666666667
2007-01-27 13.416666666666666 9.166666666666666 10.583333333333334 7.75
2007-01-28 13.333333333333334 10.166666666666666 10.5 8.75
2007-01-29 13.333333333333334 11.166666666666666 10.5 9.75
2007-01-30 13.25 12.0 10.416666666666666 10.416666666666666
2007-01-31 13.25 12.75 10.416666666666666 10.416666666666666
2007-02-01 13.25 13.25 10.416666666666666 10.416666666666666
2007-02-02 13.25 12.666666666666666 10.416666666666666 10.416666666666666
2007-02-03 13.166666666666666 11.75 10.416666666666666 10.333333333333334
2007-02-04 13.166666666666666 10.833333333333334 10.333333333333334 9.416666666666666
2007-02-05 13.166666666666666 9.916666666666666 10.333333333333334 8.5
2007-02-06 13.166666666666666 9.083333333333334 10.333333333333334 7.666666666666667
2007-02-07 13.083333333333334 8.166666666666666 10.333333333333334 6.833333333333333
2007-02-08 13.083333333333334 7.25 10.333333333333334 5.916666666666667
2007-02-09 13.083333333333334 6.333333333333333 10.333333333333334 5.0
2007-02-10 13.0 5.333333333333333 10.25 3.9166666666666665
2007-02-11 13.0 4.333333333333333 10.25 2.9166666666666665
2007-02-12 13.0 3.3333333333333335 10.166666666666666 1.9166666666666667
2007-02-13 13.0 2.4166666666666665 10.166666666666666 1.0
2007-02-14 12.916666666666666 1.5 10.166666666666666 0.16666666666666666
2007-02-15 12.916666666666666 0.75 10.166666666666666 0.0
2007-02-16 12.833333333333334 0.0 10.166666666666666 0.0
2007-02-17 12.833333333333334 0.0 10.083333333333334 0.0
2007-02-18 12.833333333333334 1.1666666666666667 10.083333333333334 0.0
2007-02-19 12.833333333333334 2.25 10.083333333333334 0.9166666666666666
2007-02-20 12.75 3.3333333333333335 10.0 1.9166666666666667
2007-02-21 12.75 4.5 10.0 3.0833333333333335
2007-02-22 12.75 5.583333333333333 10.0 4.166666666666667
2007-02-23 12.75 6.75 9.916666666666666 5.333333333333333
2007-02-24 12.666666666666666 7.75 9.916666666666666 6.416666666666667
2007-02-25 12.583333333333334 8.75 9.916666666666666 7.416666666666667
2007-02-26 12.583333333333334 9.666666666666666 9.916666666666666 8.333333333333334
2007-02-27 12.583333333333334 10.416666666666666 9.916666666666666 9.083333333333334
2007-02-28 12.583333333333334 11.083333333333334 9.75 9.666666666666666
2007-03-01 12.583333333333334 11.666666666666666 9.75 9.75
2007-03-02 12.5 12.166666666666666 9.75 9.75
2007-03-03 12.416666666666666 12.416666666666666 9.75 9.75
2007-03-04 12.416666666666666 11.666666666666666 9.75 9.75
2007-03-05 12.416666666666666 10.75 9.666666666666666 9.333333333333334
2007-03-06 12.416666666666666 9.916666666666666 9.666666666666666 8.5
2007-03-07 12.333333333333334 8.916666666666666 9.666666666666666 7.583333333333333
2007-03-08 12.333333333333334 8.0 9.666666666666666 6.666666666666667
2007-03-09 12.333333333333334 7.083333333333333 9.583333333333334 5.75
2007-03-10 12.333333333333334 6.083333333333333 9.5 4.666666666666667
2007-03-11 12.25 5.083333333333333 9.5 3.75
2007-03-12 12.166666666666666 4.166666666666667 9.5 2.8333333333333335
2007-03-13 12.166666666666666 3.25 9.5 1.9166666666666667
2007-03-14 12.166666666666666 2.5 9.416666666666666 1.0833333333333333
2007-03-15 12.166666666666666 1.75 9.416666666666666 0.3333333333333333
2007-03-16 12.083333333333334 1.0833333333333333 9.416666666666666 0.0
2007-03-17 12.083333333333334 0.4166666666666667 9.333333333333334 0.0
2007-03-18 12.083333333333334 0.0 9.333333333333334 0.0
2007-03-19 12.083333333333334 0.75 9.25 0.0
2007-03-20 12.0 1.9166666666666667 9.25 0.5
2007-03-21 11.916666666666666 3.0 9.25 1.6666666666666667
2007-03-22 11.916666666666666 4.166666666666667 9.25 2.8333333333333335
2007-03-23 11.916666666666666 5.333333333333333 9.166666666666666 4.0
