SCORE 0.5 0.0 85.85850339751403 3.738696330573909
SCORE 0.5 30.0 85.12007365242414 2.3913920996389533
SCORE 0.5 60.0 84.98775574368358 2.384453646806234
SCORE 0.5 90.0 85.4863618024515 2.114464293775795
SCORE 0.5 120.0 86.73360445653522 3.4142645067494235
SCORE 0.5 150.0 85.20652994323733 4.661015435204249
SCORE 0.5 180.0 86.06760533865803 2.7474196963280995
SCORE 0.5 210.0 84.31938343071467 3.384805390062256
SCORE 0.5 240.0 83.53634374625156 4.365971768876205
SCORE 0.5 270.0 86.88156491744826 3.7431059892270144
SCORE 0.5 300.0 82.19966065101917 4.000605512207869
SCORE 0.5 330.0 88.70619814560085 4.9156930942123385
SCORE 0.5 360.0 82.36294042944829 2.6551960346642103
SCORE 0.5 390.0 88.75802277233346 4.5711827992662855
SCORE 0.5 420.0 83.64589480364008 4.01021618506339
SCORE 0.5 450.0 86.81385574582582 2.1821989182196404
