2008-01-02 12:00:00 13.75 13.747181944444444 10.833333333333334 9.333333333333334 7.916666666666667
2008-01-03 12:00:00 13.75 13.740955 10.833333333333334 10.333333333333334 8.916666666666666
2008-01-04 12:00:00 13.75 13.73415138888889 10.75 11.25 9.75
2008-01-05 12:00:00 13.75 13.726775277777778 10.75 12.166666666666666 10.666666666666666
2008-01-06 12:00:00 13.75 13.718831944444444 10.75 13.083333333333334 10.75
2008-01-07 12:00:00 13.666666666666666 13.710325833333334 10.75 13.666666666666666 10.75
2008-01-08 12:00:00 13.666666666666666 13.701262777777778 10.75 13.666666666666666 10.75
2008-01-09 12:00:00 13.666666666666666 13.691648055555556 10.75 12.666666666666666 10.75
2008-01-10 12:00:00 13.666666666666666 13.681488055555555 10.75 11.583333333333334 10.083333333333334
2008-01-11 12:00:00 13.666666666666666 13.670788611111112 10.666666666666666 10.583333333333334 9.083333333333334
2008-01-12 12:00:00 13.666666666666666 13.65955638888889 10.666666666666666 9.583333333333334 8.083333333333334
2008-01-13 12:00:00 13.666666666666666 13.647798333333334 10.666666666666666 8.583333333333334 7.083333333333333
2008-01-14 12:00:00 13.583333333333334 13.63552111111111 10.666666666666666 7.583333333333333 6.083333333333333
2008-01-15 12:00:00 13.583333333333334 13.622732222222222 10.666666666666666 6.5 5.0
2008-01-16 12:00:00 13.583333333333334 13.609439166666666 10.666666666666666 5.416666666666667 3.9166666666666665
2008-01-17 12:00:00 13.583333333333334 13.595649444444444 10.666666666666666 4.25 2.75
2008-01-18 12:00:00 13.583333333333334 13.581370833333333 10.583333333333334 3.0833333333333335 1.5833333333333333
2008-01-19 12:00:00 13.583333333333334 13.566611388888889 10.583333333333334 2.0 0.5
2008-01-20 12:00:00 13.5 13.551379722222222 10.583333333333334 1.0 0.0
2008-01-21 12:00:00 13.5 13.53568361111111 10.583333333333334 0.16666666666666666 0.0
2008-01-22 12:00:00 13.416666666666666 13.519531666666667 10.583333333333334 0.16666666666666666 0.0
2008-01-23 12:00:00 13.416666666666666 13.5029325 10.583333333333334 1.3333333333333333 0.0
2008-01-24 12:00:00 13.416666666666666 13.485895 10.583333333333334 2.3333333333333335 0.9166666666666666
2008-01-25 12:00:00 13.416666666666666 13.468427777777778 10.583333333333334 3.25 1.8333333333333333
2008-01-26 12:00:00 13.333333333333334 13.450539444444445 10.5 4.166666666666667 2.75
2008-01-27 12:00:00 13.333333333333334 13.432239444444445 10.5 5.083333333333333 3.6666666666666665
2008-01-28 12:00:00 13.333333333333334 13.41353638888889 10.5 5.916666666666667 4.5
2008-01-29 12:00:00 13.333333333333334 13.394439166666666 10.5 6.833333333333333 5.416666666666667
2008-01-30 12:00:00 13.333333333333334 13.374957222222223 10.5 7.833333333333333 6.416666666666667
2008-01-31 12:00:00 13.333333333333334 13.355099444444445 10.5 8.75 7.333333333333333
2008-02-01 12:00:00 13.25 13.334874722222223 10.5 9.583333333333334 8.25
2008-02-02 12:00:00 13.25 13.3142925 10.416666666666666 10.5 9.083333333333334
2008-02-03 12:00:00 13.166666666666666 13.293361666666666 10.416666666666666 11.333333333333334 9.916666666666666
2008-02-04 12:00:00 13.166666666666666 13.272091111111111 10.333333333333334 12.083333333333334 10.333333333333334
2008-02-05 12:00:00 13.166666666666666 13.25049 10.333333333333334 12.75 10.333333333333334
2008-02-06 12:00:00 13.166666666666666 13.228567222222223 10.333333333333334 13.166666666666666 10.333333333333334
2008-02-07 12:00:00 13.083333333333334 13.206331666666667 10.333333333333334 12.583333333333334 10.333333333333334
2008-02-08 12:00:00 13.083333333333334 13.183792222222221 10.333333333333334 11.583333333333334 10.166666666666666
2008-02-09 12:00:00 13.083333333333334 13.160957777777778 10.25 10.583333333333334 9.166666666666666
2008-02-10 12:00:00 13.0 13.137836944444444 10.25 9.416666666666666 8.083333333333334
2008-02-11 12:00:00 13.0 13.114438333333334 10.25 8.416666666666666 7.083333333333333
2008-02-12 12:00:00 13.0 13.090770277777779 10.25 7.333333333333333 6.0
2008-02-13 12:00:00 13.0 13.066841944444445 10.166666666666666 6.166666666666667 4.75
2008-02-14 12:00:00 12.916666666666666 13.04266111111111 10.166666666666666 5.0 3.5833333333333335
2008-02-15 12:00:00 12.916666666666666 13.018236111111111 10.166666666666666 3.9166666666666665 2.5
2008-02-16 12:00:00 12.916666666666666 12.993575277777778 10.166666666666666 2.9166666666666665 1.5
2008-02-17 12:00:00 12.833333333333334 12.968686944444444 10.083333333333334 2.0 0.6666666666666666
2008-02-18 12:00:00 12.833333333333334 12.94357861111111 10.083333333333334 1.25 0.0
2008-02-19 12:00:00 12.833333333333334 12.918258333333334 10.083333333333334 0.5833333333333334 0.0
2008-02-20 12:00:00 12.833333333333334 12.892733611111112 10.0 0.0 0.0
2008-02-21 12:00:00 12.75 12.8670125 10.0 0.6666666666666666 0.0
2008-02-22 12:00:00 12.666666666666666 12.8411025 10.0 1.5833333333333333 0.25
2008-02-23 12:00:00 12.666666666666666 12.815010833333334 10.0 2.5 1.1666666666666667
2008-02-24 12:00:00 12.666666666666666 12.788744722222223 10.0 3.4166666666666665 2.0833333333333335
2008-02-25 12:00:00 12.666666666666666 12.762311666666667 9.833333333333334 4.333333333333333 2.9166666666666665
2008-02-26 12:00:00 12.666666666666666 12.735718333333333 9.833333333333334 5.25 3.8333333333333335
2008-02-27 12:00:00 12.583333333333334 12.708972222222222 9.833333333333334 6.25 4.833333333333333
2008-02-28 12:00:00 12.583333333333334 12.682079444444444 9.833333333333334 7.166666666666667 5.75
