2007-11-05 T 21:17:15.435 UTCRSS 265  [1] [SDAT] RSS : .simCompleted()():: Run: 32 fpstat=  33 0.39599326599326606 0.21893333333333334 0.5429777777777778 0.08236696053518032
2007-11-05 T 21:18:01.638 UTCRSS 273  [1] [SDAT] RSS : .simCompleted()():: Run: 33 fpstat=  34 0.3984444444444445 0.21893333333333334 0.5429777777777778 0.08235904459112764
2007-11-05 T 21:18:47.158 UTCRSS 281  [1] [SDAT] RSS : .simCompleted()():: Run: 34 fpstat=  35 0.3986209523809524 0.21893333333333334 0.5429777777777778 0.08114556237517809
2007-11-05 T 21:19:38.457 UTCRSS 289  [1] [SDAT] RSS : .simCompleted()():: Run: 35 fpstat=  36 0.39890864197530873 0.21893333333333334 0.5429777777777778 0.07999656461367673
2007-11-05 T 21:20:41.773 UTCRSS 297  [1] [SDAT] RSS : .simCompleted()():: Run: 36 fpstat=  37 0.40329249249249255 0.21893333333333334 0.5611111111111111 0.08326319245907929
2007-11-05 T 21:21:23.585 UTCRSS 305  [1] [SDAT] RSS : .simCompleted()():: Run: 37 fpstat=  38 0.40100467836257314 0.21893333333333334 0.5611111111111111 0.08333236406369537
2007-11-05 T 21:22:19.725 UTCRSS 313  [1] [SDAT] RSS : .simCompleted()():: Run: 38 fpstat=  39 0.400331623931624 0.21893333333333334 0.5611111111111111 0.08233593202244241
2007-11-05 T 21:23:07.900 UTCRSS 321  [1] [SDAT] RSS : .simCompleted()():: Run: 39 fpstat=  40 0.3964144444444445 0.21893333333333334 0.5611111111111111 0.08496559138948313
2007-11-05 T 21:24:02.552 UTCRSS 329  [1] [SDAT] RSS : .simCompleted()():: Run: 40 fpstat=  41 0.4001008130081301 0.21893333333333334 0.5611111111111111 0.08715408635193764
2007-11-05 T 21:24:50.973 UTCRSS 337  [1] [SDAT] RSS : .simCompleted()():: Run: 41 fpstat=  42 0.3999830687830688 0.21893333333333334 0.5611111111111111 0.08608805248533181
2007-11-05 T 21:25:41.330 UTCRSS 345  [1] [SDAT] RSS : .simCompleted()():: Run: 42 fpstat=  43 0.3989240310077519 0.21893333333333334 0.5611111111111111 0.08534004854427575
2007-11-05 T 21:26:20.713 UTCRSS 353  [1] [SDAT] RSS : .simCompleted()():: Run: 43 fpstat=  44 0.3977555555555555 0.21893333333333334 0.5611111111111111 0.08469727443929237
2007-11-05 T 21:27:07.300 UTCRSS 361  [1] [SDAT] RSS : .simCompleted()():: Run: 44 fpstat=  45 0.39635259259259253 0.21893333333333334 0.5611111111111111 0.08425654288587767
2007-11-05 T 21:28:05.167 UTCRSS 369  [1] [SDAT] RSS : .simCompleted()():: Run: 45 fpstat=  46 0.39702705314009656 0.21893333333333334 0.5611111111111111 0.08344058400934116
2007-11-05 T 21:28:40.293 UTCRSS 377  [1] [SDAT] RSS : .simCompleted()():: Run: 46 fpstat=  47 0.39588274231678483 0.21893333333333334 0.5611111111111111 0.08290066379720211
2007-11-05 T 21:29:20.447 UTCRSS 385  [1] [SDAT] RSS : .simCompleted()():: Run: 47 fpstat=  48 0.397462037037037 0.21893333333333334 0.5611111111111111 0.08274065792607097
2007-11-05 T 21:30:07.376 UTCRSS 393  [1] [SDAT] RSS : .simCompleted()():: Run: 48 fpstat=  49 0.3974857142857142 0.21893333333333334 0.5611111111111111 0.08187440748379858
2007-11-05 T 21:30:45.527 UTCRSS 401  [1] [SDAT] RSS : .simCompleted()():: Run: 49 fpstat=  50 0.3962551111111111 0.21893333333333334 0.5611111111111111 0.0815005113373465
2007-11-05 T 21:31:38.487 UTCRSS 409  [1] [SDAT] RSS : .simCompleted()():: Run: 50 fpstat=  51 0.395756862745098 0.21893333333333334 0.5611111111111111 0.08075981367258073
2007-11-05 T 21:32:23.772 UTCRSS 417  [1] [SDAT] RSS : .simCompleted()():: Run: 51 fpstat=  52 0.39869914529914524 0.21893333333333334 0.5611111111111111 0.08273105610285234
2007-11-05 T 21:33:18.149 UTCRSS 425  [1] [SDAT] RSS : .simCompleted()():: Run: 52 fpstat=  53 0.4001584905660377 0.21893333333333334 0.5611111111111111 0.08261765871519824
2007-11-05 T 21:34:03.426 UTCRSS 433  [1] [SDAT] RSS : .simCompleted()():: Run: 53 fpstat=  54 0.3987234567901234 0.21893333333333334 0.5611111111111111 0.08251117831974894
2007-11-05 T 21:34:59.090 UTCRSS 441  [1] [SDAT] RSS : .simCompleted()():: Run: 54 fpstat=  55 0.3996250505050504 0.21893333333333334 0.5611111111111111 0.08201662416991749
2007-11-05 T 21:36:02.697 UTCRSS 449  [1] [SDAT] RSS : .simCompleted()():: Run: 55 fpstat=  56 0.4033944444444444 0.21893333333333334 0.6107111111111111 0.0860237701861358
2007-11-05 T 21:36:45.071 UTCRSS 457  [1] [SDAT] RSS : .simCompleted()():: Run: 56 fpstat=  57 0.402683820662768 0.21893333333333334 0.6107111111111111 0.0854208920640316
2007-11-05 T 21:37:35.488 UTCRSS 465  [1] [SDAT] RSS : .simCompleted()():: Run: 57 fpstat=  58 0.40308199233716474 0.21893333333333334 0.6107111111111111 0.0847225552884541
2007-11-05 T 21:38:31.232 UTCRSS 473  [1] [SDAT] RSS : .simCompleted()():: Run: 58 fpstat=  59 0.40403691148775894 0.21893333333333334 0.6107111111111111 0.0843086866604246
2007-11-05 T 21:39:14.858 UTCRSS 481  [1] [SDAT] RSS : .simCompleted()():: Run: 59 fpstat=  60 0.4064385185185185 0.21893333333333334 0.6107111111111111 0.08563611281843125
2007-11-05 T 21:40:08.325 UTCRSS 489  [1] [SDAT] RSS : .simCompleted()():: Run: 60 fpstat=  61 0.4064998178506375 0.21893333333333334 0.6107111111111111 0.08492082961462068
2007-11-05 T 21:41:02.380 UTCRSS 497  [1] [SDAT] RSS : .simCompleted()():: Run: 61 fpstat=  62 0.40585591397849463 0.21893333333333334 0.6107111111111111 0.08437435138534115
2007-11-05 T 21:42:03.593 UTCRSS 505  [1] [SDAT] RSS : .simCompleted()():: Run: 62 fpstat=  63 0.40740670194003525 0.21893333333333334 0.6107111111111111 0.08459148607446922
2007-11-05 T 21:43:02.473 UTCRSS 513  [1] [SDAT] RSS : .simCompleted()():: Run: 63 fpstat=  64 0.4073298611111111 0.21893333333333334 0.6107111111111111 0.08391969110794904
2007-11-05 T 21:43:50.387 UTCRSS 521  [1] [SDAT] RSS : .simCompleted()():: Run: 64 fpstat=  65 0.407442735042735 0.21893333333333334 0.6107111111111111 0.08326646023345853
2007-11-05 T 21:44:36.681 UTCRSS 529  [1] [SDAT] RSS : .simCompleted()():: Run: 65 fpstat=  66 0.4092343434343434 0.21893333333333334 0.6107111111111111 0.08389569711949091
2007-11-05 T 21:45:32.632 UTCRSS 537  [1] [SDAT] RSS : .simCompleted()():: Run: 66 fpstat=  67 0.4101519071310116 0.21893333333333334 0.6107111111111111 0.08359577194973178
